Conidiobolus_thromboides_FSU_785.Conth1.v1,Entomophaga_maimaiga_var_ARSEF_7190.v1,Entomophthora_muscae_UCB.Nanopore10X_v2,Massospora_cicadina_6FC.v_medaka,Massospora_cicadina_RS.v_flye,Zoophthora_radicans_ATCC_208865.v1
ARTEFACT,0,0,0,0,0.00,0
DNA,0.00,0.00,0.00,0,0.00,0.01
DNA/Academ-H,0,0.00,0.00,0,0.00,0.00
DNA/CMC-Chapaev-3,0,0,0,0.04,0.06,0
DNA/CMC-EnSpm,0.00,0.00,0.00,0,0.00,0.00
DNA/Crypton-F,0,0.00,0.00,0,0.00,0.00
DNA/Dada,0,0.00,0.00,0,0.00,0
DNA/Ginger,0,0,0,0,0,0.00
DNA/Ginger-1,0,0.00,0.19,0,0,0
DNA/Ginger-2,0,0,0,0,0,0.06
DNA/IS3EU,0,0,0.00,0,0,0.00
DNA/Kolobok-H,0.00,0.00,0.00,0,0.00,0.00
DNA/MULE-F,0,0.00,0,0,0.00,0
DNA/MULE-MuDR,0.00,2.53,4.64,0,0.00,4.43
DNA/MULE-MuDR?,0,0,0.00,0,0,0.00
DNA/Maverick,0,0.00,0.00,0,0.00,0.10
DNA/Merlin,0,0.00,0.00,0,0.00,0.03
DNA/P,0,0.00,0,0,0,0.00
DNA/P-Fungi,0,0.00,0.00,0,0.00,0.00
DNA/PIF-Harbinger,0.00,0.00,0.00,0,0.00,0.00
DNA/PIF-ISL2EU,0,0.00,0,0.01,0.00,0
DNA/PiggyBac,0,0,0,0.01,0.01,0.05
DNA/Sola-1,0,0.04,0,0,0,0
DNA/Sola-2,4.16,0.42,0,0,0,0.05
DNA/TcMar,0,0,0.00,0,0.00,0
DNA/TcMar-Ant1,0.00,0.00,0.00,0,0.00,0.00
DNA/TcMar-Ant1?,0,0,0,0,0.00,0
DNA/TcMar-Fot1,0.00,0.00,0.00,0,0.00,0.00
DNA/TcMar-ISRm11,0.02,13.89,12.09,0.02,0.09,0.00
DNA/TcMar-Mariner,0,0,0,0.03,0.05,0
DNA/TcMar-Pogo,0,0.12,0,0.01,0.01,0.02
DNA/TcMar-Sagan,0,0.00,0.00,0,0.00,0.00
DNA/TcMar-Tc1,0.00,0.02,0.01,0,0.00,0.00
DNA/TcMar-Tc2,0,0.02,0,0,0,0
DNA/TcMar-Tigger,0,0,0,0,0,0.16
DNA/Zisupton,0.00,0.00,0,0.00,0.00,0
DNA/hAT,0,0.00,0.00,0,0.00,0
DNA/hAT-Ac,0.00,0.28,0.04,0,0.00,0.00
DNA/hAT-Charlie,0,0,0,0.01,0,0.01
DNA/hAT-Restless,0,0.00,0.00,0,0.00,0
DNA/hAT-Tag1,0,0,0,0,0.00,0
DNA/hAT-hAT19,0,0,0,0,0,0.01
DNA/hAT-hATw,0,0.00,0,0,0.00,0.00
LINE/CR1,0,0.04,0.03,0,0,0.03
LINE/CRE,0.00,0.00,0,0,0.00,0.00
LINE/Deceiver,0,0.00,0,0,0,0.00
LINE/L1,0,0.09,0.16,0.87,0.47,0.06
LINE/L1-Tx1,0,0.69,0.21,4.32,4.59,0.12
LINE/L1-Zorro,0,0.00,0.00,0,0,0
LINE/Penelope,0.00,0.01,0.00,0,0.00,0.00
LINE/RTE-X,0,0,0,0,0.00,0
LINE/Tad1,0.00,0.00,0.00,0,0.00,0.00
LINE/Tad1?,0,0.00,0,0,0.00,0
LTR,0,0.00,0.16,0.14,0.02,0.00
LTR/Copia,0.01,0.01,0.00,0.02,0.12,0.00
LTR/DIRS,0,0,0,0,0.00,0
LTR/ERV1,0,0,0.01,0,0,0
LTR/ERVK,0,0,0,0.01,0.01,0
LTR/ERVL,0,0,0,0.01,0,0
LTR/Gypsy,0.01,44.26,40.66,56.37,56.29,38.32
LTR/Ngaro,0,0,0.00,0,0.00,0
LTR/Pao,0,0.00,0,0,0.00,0
LTR/Unknown,0,15.12,18.04,8.01,9.53,8.89
RC/Helitron,0,0.07,0.02,0.22,0.29,0.21
RC/Helitron-2,0,0,0,0.03,0,0
Satellite,0,0,0.00,0,0.00,0.00
Satellite/5S,0,0,0,0,0.00,0
Satellite/telo,0,0,0.00,0,0,0
Unknown,7.60,15.81,20.33,23.43,19.91,20.11
Unknown/centromeric,0.00,0.00,0,0,0,0
rRNA,0,0.00,0.00,0,0.01,0.00
